net,epoch,model,avg_psnr,avg_ssim
net2,0,DehazeNet_epoch0.pth,16.38499153739278,0.6863281604647636
net2,1,DehazeNet_epoch1.pth,17.31288470840116,0.7616739052534104
net2,2,DehazeNet_epoch2.pth,17.912990010772315,0.8136202856898308
net2,3,DehazeNet_epoch3.pth,18.154844410044678,0.8346934208869934
net2,4,DehazeNet_epoch4.pth,18.318566428453163,0.8482339030504227
net2,5,DehazeNet_epoch5.pth,18.33713113523427,0.8533887149095535
net2,6,DehazeNet_epoch6.pth,18.35110441220984,0.861012293934822
net2,7,DehazeNet_epoch7.pth,18.534724237244824,0.8657740848064422
net2,8,DehazeNet_epoch8.pth,18.413389538991446,0.8646600776910782
net2,9,DehazeNet_epoch9.pth,18.663255061794622,0.8684044542312622
net2,10,DehazeNet_epoch10.pth,18.299200544528535,0.8686314090490341
net2,11,DehazeNet_epoch11.pth,18.585616085312708,0.8719825630187988
net2,12,DehazeNet_epoch12.pth,18.663701100834906,0.8731632167100907
net2,13,DehazeNet_epoch13.pth,18.67177931391349,0.87375126516819
net2,14,DehazeNet_epoch14.pth,18.649410927593287,0.8752841556072235
net2,15,DehazeNet_epoch15.pth,18.60791398194714,0.8766571004390716
net2,16,DehazeNet_epoch16.pth,18.598218730191743,0.8764194605350495
net2,17,DehazeNet_epoch17.pth,18.66947152185947,0.8772000838518142
net2,18,DehazeNet_epoch18.pth,18.705261754707145,0.8778454319238663
net2,19,DehazeNet_epoch19.pth,18.47199711422628,0.8772269115447998
net2,20,DehazeNet_epoch20.pth,18.814075256522067,0.876544164299965
net2,21,DehazeNet_epoch21.pth,18.631829723604277,0.8772185208797455
net2,22,DehazeNet_epoch22.pth,18.839147640764516,0.8757218936681748
net2,23,DehazeNet_epoch23.pth,18.77007464471546,0.8740310487747193
net2,24,DehazeNet_epoch24.pth,18.47319873131685,0.8776705266237259
net2,25,DehazeNet_epoch25.pth,18.732293352429387,0.8794634162187577
net2,26,DehazeNet_epoch26.pth,18.691966084779878,0.8787189860343934
net2,27,DehazeNet_epoch27.pth,18.78770152502584,0.8794116876125335
net2,28,DehazeNet_epoch28.pth,18.780415203434735,0.8802501426935196
net2,29,DehazeNet_epoch29.pth,18.84747548366779,0.8797663985490799
net2,30,DehazeNet_epoch30.pth,18.820538602855493,0.881152660369873
net2,31,DehazeNet_epoch31.pth,18.837900298168517,0.8807380602359772
net2,32,DehazeNet_epoch32.pth,18.795312051742755,0.8779666213989258
net2,33,DehazeNet_epoch33.pth,18.873193338417988,0.8769380551576614
net2,34,DehazeNet_epoch34.pth,18.669965712702506,0.8803726251125336
net2,35,DehazeNet_epoch35.pth,18.836437585442322,0.8796474233865738
net2,36,DehazeNet_epoch36.pth,18.650917597841403,0.8796530603170395
net2,37,DehazeNet_epoch37.pth,18.862258155414892,0.8813519207239151
net2,38,DehazeNet_epoch38.pth,18.67052818610649,0.8787722511291504
net2,39,DehazeNet_epoch39.pth,18.8979076480011,0.8791399610042572
net2,40,DehazeNet_epoch40.pth,18.93070718744357,0.8811668614149094
net2,41,DehazeNet_epoch41.pth,18.74177713427522,0.8779418212175369
net2,42,DehazeNet_epoch42.pth,18.67344773228525,0.8808044959306717
net2,43,DehazeNet_epoch43.pth,18.758914289656325,0.8790100576877594
net2,44,DehazeNet_epoch44.pth,18.75742694621149,0.878447759270668
net2,45,DehazeNet_epoch45.pth,18.860969001533864,0.8777962419986725
net2,46,DehazeNet_epoch46.pth,18.96227426434608,0.8769461659193039
net2,47,DehazeNet_epoch47.pth,18.64985538400605,0.8800336779356003
net2,48,DehazeNet_epoch48.pth,18.86301691545052,0.8791613612174988
net2,49,DehazeNet_epoch49.pth,18.697895058277567,0.8799440451860427
net2,50,DehazeNet_epoch50.pth,18.984526093178687,0.8809785014390945
net2,51,DehazeNet_epoch51.pth,18.94352042620164,0.8777796978950501
net2,52,DehazeNet_epoch52.pth,18.865957949099887,0.8829726240634919
net2,53,DehazeNet_epoch53.pth,18.785020563840867,0.8802286162376404
net2,54,DehazeNet_epoch54.pth,18.830828172970715,0.8808563611507416
net2,55,DehazeNet_epoch55.pth,18.67134575870346,0.8788936929702759
net2,56,DehazeNet_epoch56.pth,18.892192487614437,0.8818276764154435
net2,57,DehazeNet_epoch57.pth,18.958836090663628,0.8817375049591064
net2,58,DehazeNet_epoch58.pth,18.933607441791544,0.8813085143566132
net2,59,DehazeNet_epoch59.pth,18.79648321075379,0.8809166586399079
net2,60,DehazeNet_epoch60.pth,18.933255833687596,0.8818647923469544
net2,61,DehazeNet_epoch61.pth,18.528637403773327,0.8766070010662079
net2,62,DehazeNet_epoch62.pth,18.946255562672178,0.8801629968881607
net2,63,DehazeNet_epoch63.pth,18.91253794620164,0.8800233029127121
net2,64,DehazeNet_epoch64.pth,18.978769236927132,0.8821917555332184
net2,65,DehazeNet_epoch65.pth,18.99747366003308,0.88173978805542
net2,66,DehazeNet_epoch66.pth,18.982807017181074,0.8823172135353088
net2,67,DehazeNet_epoch67.pth,18.747792979609095,0.8784478007555008
net2,68,DehazeNet_epoch68.pth,18.801934089656044,0.8823170365095139
net2,69,DehazeNet_epoch69.pth,19.02069437262975,0.8819498407840729
net2,70,DehazeNet_epoch70.pth,18.81267710678644,0.8801870228052139
net2,71,DehazeNet_epoch71.pth,18.51781487640072,0.8794804979562759
net2,72,DehazeNet_epoch72.pth,19.005914410770966,0.8821299543380737
net2,73,DehazeNet_epoch73.pth,18.879165677507473,0.8830809231996536
net2,74,DehazeNet_epoch74.pth,18.87010653806069,0.8792864594459534
net2,75,DehazeNet_epoch75.pth,18.937971627362945,0.8826636011600495
net2,76,DehazeNet_epoch76.pth,18.669299315546816,0.8813613526821137
net2,77,DehazeNet_epoch77.pth,18.965177768264002,0.8836145476102829
net2,78,DehazeNet_epoch78.pth,18.903455939218514,0.882860736131668
net2,79,DehazeNet_epoch79.pth,18.869262993108546,0.8823993945121765
net2,80,DehazeNet_epoch80.pth,18.895508972210596,0.883163419008255
net2,81,DehazeNet_epoch81.pth,18.968590457121984,0.8828584426641464
net2,82,DehazeNet_epoch82.pth,18.8369915203314,0.8825005511045456
net2,83,DehazeNet_epoch83.pth,18.919488746818633,0.8807231047153473
net2,84,DehazeNet_epoch84.pth,19.008511064788188,0.8811052639484406
net2,85,DehazeNet_epoch85.pth,18.99409900890667,0.8827411079406738
net2,86,DehazeNet_epoch86.pth,18.75577183729381,0.8820376634597779
net2,87,DehazeNet_epoch87.pth,19.072370550580313,0.8805106189250946
net2,88,DehazeNet_epoch88.pth,18.80178400157908,0.8810672082901001
net2,89,DehazeNet_epoch89.pth,18.869297994600238,0.8815722348690033
net2,90,DehazeNet_epoch90.pth,18.822910333741675,0.8833929414749145
net2,91,DehazeNet_epoch91.pth,18.900446583848964,0.8790846670866013
net2,92,DehazeNet_epoch92.pth,18.883249139604168,0.8818527946472168
net2,93,DehazeNet_epoch93.pth,18.923120648079294,0.8834129508733749
net2,94,DehazeNet_epoch94.pth,18.93014376258395,0.8835415402650834
net2,95,DehazeNet_epoch95.pth,18.97374676033298,0.8799676252603531
net2,96,DehazeNet_epoch96.pth,18.763406309735362,0.8816253681182862
net2,97,DehazeNet_epoch97.pth,19.02869277345199,0.880132274389267
net2,98,DehazeNet_epoch98.pth,18.868791080494827,0.8800319485664367
net2,99,DehazeNet_epoch99.pth,18.899073649963064,0.8816402057409286
net2,100,DehazeNet_epoch100.pth,18.823849486793,0.8824491037130355
